company,title,experience,location,posted_relative,rating,reviews,raw_text,posted_date
Hindustan Coca Cola Beverages Plant HR Manager 12,"18 yrs Hindustan Coca Cola Beverages - Plant HR Manager Posted 3 days ago      2026-02-07 20:18:22  Hindustan Coca Cola Beverages - Plant HR Manager https://www.iimjobs.com/j/hindustan-coca-cola-beverages-plant-hr-manager-1671998?ref=sp_br_prm&jobPos=1 4 3,379+ Reviews Hindustan Coca Cola Beverages - Plant HR Manager",12 - 18 yrs,Maharashtra,Posted 3 days ago      2026-02-07 20:18:22  Hindustan Coca Cola Beverages - Plant HR Manager https://www.iimjobs.com/j/hindustan-coca-cola-beverages-plant-hr-manager-1671998?ref=sp_br_prm&jobPos=1,4.0,3379,"Hindustan Coca Cola Beverages Plant HR Manager 12 - 18 yrs Hindustan Coca Cola Beverages - Plant HR Manager Posted 3 days ago      2026-02-07 20:18:22  Hindustan Coca Cola Beverages - Plant HR Manager https://www.iimjobs.com/j/hindustan-coca-cola-beverages-plant-hr-manager-1671998?ref=sp_br_prm&jobPos=1 4 3,379+ Reviews Hindustan Coca Cola Beverages - Plant HR Manager 12 - 18 yrs Maharashtra 4 3,379+ Reviews Posted 3 days ago      2026-02-07 20:18:22  Hindustan Coca Cola Beverages - Plant HR Manager https://www.iimjobs.com/j/hindustan-coca-cola-beverages-plant-hr-manager-1671998?ref=sp_br_prm&jobPos=1",2026-02-04
HR Transformation Partner IT 18,25 yrs HR Transformation Partner - IT Posted 2 days ago      2026-02-07 20:18:22  HR Transformation Partner - IT https://www.iimjobs.com/j/hr-transformation-partner-it-1672269?ref=sp_prm&jobPos=2   HR Transformation Partner - IT,18 - 25 yrs,Multiple Locations,Posted 2 days ago      2026-02-07 20:18:22  HR Transformation Partner - IT https://www.iimjobs.com/j/hr-transformation-partner-it-1672269?ref=sp_prm&jobPos=2,,,HR Transformation Partner IT 18 - 25 yrs HR Transformation Partner - IT Posted 2 days ago      2026-02-07 20:18:22  HR Transformation Partner - IT https://www.iimjobs.com/j/hr-transformation-partner-it-1672269?ref=sp_prm&jobPos=2   HR Transformation Partner - IT 18 - 25 yrs Multiple Locations Posted 2 days ago      2026-02-07 20:18:22  HR Transformation Partner - IT https://www.iimjobs.com/j/hr-transformation-partner-it-1672269?ref=sp_prm&jobPos=2,2026-02-05
Broadridge HR Portfolio Lead 8,"16 yrs Broadridge - HR Portfolio Lead Posted 1 week ago      2026-02-07 20:18:23  Broadridge - HR Portfolio Lead https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-1670236?ref=sp_br_prm&jobPos=3 3.8 1,515+ Reviews Broadridge - HR Portfolio Lead",8 - 16 yrs,Bangalore,Posted 1 week ago      2026-02-07 20:18:23  Broadridge - HR Portfolio Lead https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-1670236?ref=sp_br_prm&jobPos=3,3.8,1515,"Broadridge HR Portfolio Lead 8 - 16 yrs Broadridge - HR Portfolio Lead Posted 1 week ago      2026-02-07 20:18:23  Broadridge - HR Portfolio Lead https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-1670236?ref=sp_br_prm&jobPos=3 3.8 1,515+ Reviews Broadridge - HR Portfolio Lead 8 - 16 yrs Bangalore 3.8 1,515+ Reviews Posted 1 week ago      2026-02-07 20:18:23  Broadridge - HR Portfolio Lead https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-1670236?ref=sp_br_prm&jobPos=3",2026-01-31
Reliance Industries HR Business Partner,CHO Projects 8 - 12 yrs Reliance Industries - HR Business Partner - CHO Projects Posted today      2026-02-07 20:18:23  Reliance Industries - HR Business Partner - CHO Projects https://www.iimjobs.com/j/reliance-industries-hr-business-partner-cho-projects-1672811?ref=sp_br_prm&jobPos=4   Reliance Industries - HR Business Partner - CHO Projects,8 - 12 yrs,Gujarat,Posted today      2026-02-07 20:18:23  Reliance Industries - HR Business Partner - CHO Projects https://www.iimjobs.com/j/reliance-industries-hr-business-partner-cho-projects-1672811?ref=sp_br_prm&jobPos=4,,,Reliance Industries HR Business Partner - CHO Projects 8 - 12 yrs Reliance Industries - HR Business Partner - CHO Projects Posted today      2026-02-07 20:18:23  Reliance Industries - HR Business Partner - CHO Projects https://www.iimjobs.com/j/reliance-industries-hr-business-partner-cho-projects-1672811?ref=sp_br_prm&jobPos=4   Reliance Industries - HR Business Partner - CHO Projects 8 - 12 yrs Gujarat Posted today      2026-02-07 20:18:23  Reliance Industries - HR Business Partner - CHO Projects https://www.iimjobs.com/j/reliance-industries-hr-business-partner-cho-projects-1672811?ref=sp_br_prm&jobPos=4,2026-02-07
Leap Finance HR Business Partner 4,8 yrs Leap Finance - HR Business Partner Posted 1 week ago      2026-02-07 20:18:24  Leap Finance - HR Business Partner https://www.iimjobs.com/j/leap-finance-hr-business-partner-1670111?ref=sp_br_prm&jobPos=5   Leap Finance - HR Business Partner,4 - 8 yrs,Mumbai,Posted 1 week ago      2026-02-07 20:18:24  Leap Finance - HR Business Partner https://www.iimjobs.com/j/leap-finance-hr-business-partner-1670111?ref=sp_br_prm&jobPos=5,,,Leap Finance HR Business Partner 4 - 8 yrs Leap Finance - HR Business Partner Posted 1 week ago      2026-02-07 20:18:24  Leap Finance - HR Business Partner https://www.iimjobs.com/j/leap-finance-hr-business-partner-1670111?ref=sp_br_prm&jobPos=5   Leap Finance - HR Business Partner 4 - 8 yrs Mumbai Posted 1 week ago      2026-02-07 20:18:24  Leap Finance - HR Business Partner https://www.iimjobs.com/j/leap-finance-hr-business-partner-1670111?ref=sp_br_prm&jobPos=5,2026-01-31
Perfetti Van Melle Factory HR Head 15,18 yrs Perfetti Van Melle - Factory HR Head Posted 1 week ago      2026-02-07 20:18:24  Perfetti Van Melle - Factory HR Head https://www.iimjobs.com/j/perfetti-van-melle-factory-hr-head-1669363?ref=sp_br_prm&jobPos=6 4.2 988+ Reviews Perfetti Van Melle - Factory HR Head,15 - 18 yrs,Chennai,Posted 1 week ago      2026-02-07 20:18:24  Perfetti Van Melle - Factory HR Head https://www.iimjobs.com/j/perfetti-van-melle-factory-hr-head-1669363?ref=sp_br_prm&jobPos=6,4.2,988,Perfetti Van Melle Factory HR Head 15 - 18 yrs Perfetti Van Melle - Factory HR Head Posted 1 week ago      2026-02-07 20:18:24  Perfetti Van Melle - Factory HR Head https://www.iimjobs.com/j/perfetti-van-melle-factory-hr-head-1669363?ref=sp_br_prm&jobPos=6 4.2 988+ Reviews Perfetti Van Melle - Factory HR Head 15 - 18 yrs Chennai 4.2 988+ Reviews Posted 1 week ago      2026-02-07 20:18:24  Perfetti Van Melle - Factory HR Head https://www.iimjobs.com/j/perfetti-van-melle-factory-hr-head-1669363?ref=sp_br_prm&jobPos=6,2026-01-31
Strategic Leader HR Business Partner 3,7 yrs Strategic Leader - HR Business Partner Posted 1 week ago      2026-02-07 20:18:24  Strategic Leader - HR Business Partner https://www.iimjobs.com/j/strategic-leader-hr-business-partner-1668942?ref=sp_prm&jobPos=7 4.1 4+ Reviews Strategic Leader - HR Business Partner,3 - 7 yrs,Mumbai,Posted 1 week ago      2026-02-07 20:18:24  Strategic Leader - HR Business Partner https://www.iimjobs.com/j/strategic-leader-hr-business-partner-1668942?ref=sp_prm&jobPos=7,4.1,4,Strategic Leader HR Business Partner 3 - 7 yrs Strategic Leader - HR Business Partner Posted 1 week ago      2026-02-07 20:18:24  Strategic Leader - HR Business Partner https://www.iimjobs.com/j/strategic-leader-hr-business-partner-1668942?ref=sp_prm&jobPos=7 4.1 4+ Reviews Strategic Leader - HR Business Partner 3 - 7 yrs Mumbai 4.1 4+ Reviews Posted 1 week ago      2026-02-07 20:18:24  Strategic Leader - HR Business Partner https://www.iimjobs.com/j/strategic-leader-hr-business-partner-1668942?ref=sp_prm&jobPos=7,2026-01-31
Regional HR Business Partner Manufacturing,South West Asia 12 - 15 yrs Regional HR Business Partner - Manufacturing - South West Asia Posted 1 week ago      2026-02-07 20:18:25  Regional HR Business Partner - Manufacturing - South West Asia https://www.iimjobs.com/j/regional-hr-business-partner-manufacturing-south-west-asia-1669493?ref=sp_prm&jobPos=8   Regional HR Business Partner - Manufacturing - South West Asia,12 - 15 yrs,Gurgaon/Gurugram,Posted 1 week ago      2026-02-07 20:18:25  Regional HR Business Partner - Manufacturing - South West Asia https://www.iimjobs.com/j/regional-hr-business-partner-manufacturing-south-west-asia-1669493?ref=sp_prm&jobPos=8,,,Regional HR Business Partner Manufacturing - South West Asia 12 - 15 yrs Regional HR Business Partner - Manufacturing - South West Asia Posted 1 week ago      2026-02-07 20:18:25  Regional HR Business Partner - Manufacturing - South West Asia https://www.iimjobs.com/j/regional-hr-business-partner-manufacturing-south-west-asia-1669493?ref=sp_prm&jobPos=8   Regional HR Business Partner - Manufacturing - South West Asia 12 - 15 yrs Gurgaon/Gurugram Posted 1 week ago      2026-02-07 20:18:25  Regional HR Business Partner - Manufacturing - South West Asia https://www.iimjobs.com/j/regional-hr-business-partner-manufacturing-south-west-asia-1669493?ref=sp_prm&jobPos=8,2026-01-31
Lead HR Business Partner + Talent Acquisition,Startup 8 - 14 yrs Lead - HR Business Partner + Talent Acquisition - Startup Posted 1 day ago      2026-02-07 20:18:25 Talent Acquisition Lead - HR Business Partner + Talent Acquisition - Startup https://www.iimjobs.com/j/lead-hr-business-partner-talent-acquisition-startup-1672755?ref=sp_prm&jobPos=9   Lead - HR Business Partner + Talent Acquisition - Startup,8 - 14 yrs,Delhi,Posted 1 day ago      2026-02-07 20:18:25 Talent Acquisition Lead - HR Business Partner + Talent Acquisition - Startup https://www.iimjobs.com/j/lead-hr-business-partner-talent-acquisition-startup-1672755?ref=sp_prm&jobPos=9,,,Lead HR Business Partner + Talent Acquisition - Startup 8 - 14 yrs Lead - HR Business Partner + Talent Acquisition - Startup Posted 1 day ago      2026-02-07 20:18:25 Talent Acquisition Lead - HR Business Partner + Talent Acquisition - Startup https://www.iimjobs.com/j/lead-hr-business-partner-talent-acquisition-startup-1672755?ref=sp_prm&jobPos=9   Lead - HR Business Partner + Talent Acquisition - Startup 8 - 14 yrs Delhi Posted 1 day ago      2026-02-07 20:18:25 Talent Acquisition Lead - HR Business Partner + Talent Acquisition - Startup https://www.iimjobs.com/j/lead-hr-business-partner-talent-acquisition-startup-1672755?ref=sp_prm&jobPos=9,2026-02-06
Max Estates HR Specialist,Compensation/Benefits & Total Rewards 3 - 4 yrs Max Estates - HR Specialist - Compensation/Benefits & Total Rewards Posted 1 week ago      2026-02-07 20:18:26 Compensation Max Estates - HR Specialist - Compensation/Benefits & Total Rewards https://www.iimjobs.com/j/max-estates-hr-specialist-compensation-benefits-and-total-rewards-1669065?ref=sp_prm&jobPos=10 4.4 52+ Reviews Max Estates - HR Specialist - Compensation/Benefits & Total Rewards,3 - 4 yrs,Noida/Gurgaon/Gurugram,Posted 1 week ago      2026-02-07 20:18:26 Compensation Max Estates - HR Specialist - Compensation/Benefits & Total Rewards https://www.iimjobs.com/j/max-estates-hr-specialist-compensation-benefits-and-total-rewards-1669065?ref=sp_prm&jobPos=10,4.4,52,Max Estates HR Specialist - Compensation/Benefits & Total Rewards 3 - 4 yrs Max Estates - HR Specialist - Compensation/Benefits & Total Rewards Posted 1 week ago      2026-02-07 20:18:26 Compensation Max Estates - HR Specialist - Compensation/Benefits & Total Rewards https://www.iimjobs.com/j/max-estates-hr-specialist-compensation-benefits-and-total-rewards-1669065?ref=sp_prm&jobPos=10 4.4 52+ Reviews Max Estates - HR Specialist - Compensation/Benefits & Total Rewards 3 - 4 yrs Noida/Gurgaon/Gurugram 4.4 52+ Reviews Posted 1 week ago      2026-02-07 20:18:26 Compensation Max Estates - HR Specialist - Compensation/Benefits & Total Rewards https://www.iimjobs.com/j/max-estates-hr-specialist-compensation-benefits-and-total-rewards-1669065?ref=sp_prm&jobPos=10,2026-01-31
