Job_Key,Title,Company,Rating,Review_Count,Location,Is_Remote,Salary_Text,Salary_Min,Salary_Max,Job_Type,Date_Posted,Date_Created,Skills_Detected,Summary,Link
d333691db01aa201,Python Developer,Hiscope Enterprises,0.0,0,Remote,True,25 - 40 (HOURLY),25.0,40.0,"Full-time, Part-time, Temporary, Contract",2026-01-09,16 days ago,"Azure, AWS, Cross-functional collaboration, Windows, C#, Managing IT infrastructure, Application design, IT, Software testing, Software troubleshooting, Linux administration, Cross-functional communication, Web applications, Cloud infrastructure implementation, Business requirements, Version control, Application deployment, Communication skills, Implementing web services, Scalability, Computer networking, Database management, Ruby on Rails, Linux, Python, System maintenance, SQL, Java, Agile software development, Express.js, IT infrastructure, Scalable systems, React Express, SVN, C++, GitHub, Technology security practices, Database software proficiency, Access control implementation","We are seeking a dynamic and innovative Python Developer to join our vibrant technology team.  In this role, you will be at the forefront of designing,…",https://www.indeed.com/viewjob?jk=d333691db01aa201
838cbed6b484cdd1,Software Engineer (Junior),Terran Robotics Inc.,0.0,0,Remote,True,70000 - 110000 (YEARLY),70000.0,110000.0,,2025-08-29,30+ days ago,"Distributed systems, Dashboard development, JavaScript, Sensors, Robotic systems, Software coding, APIs, Python, Automation, AI, Integration testing","Interest in automation, testing, and developer experience.  Familiarity with LLMs, AI coding assistants, or developer tooling.  $70,000 - $110,000 per year.",https://www.indeed.com/viewjob?jk=838cbed6b484cdd1
5a7eb091eeb33f26,Python Developer,Odixcity Consulting,0.0,0,Remote,True,400000 - 600000 (YEARLY),400000.0,600000.0,,2026-01-15,10 days ago,"Unit testing, Machine learning, Azure, AWS, Git, Continuous integration, Microservices, Google Cloud Platform, Integration testing, RabbitMQ, MongoDB, Kafka, Version control, Scalability, Docker, Django, Implementing APIs, Developing data pipelines, Information security, Flask, Data interpretation, Developing and maintaining backend systems, Scalable systems, PostgreSQL, MySQL","Collaborate with front-end developers, designers, and product managers.  We are looking for a talented Python Developer to join our engineering team and help…",https://www.indeed.com/viewjob?jk=5a7eb091eeb33f26
94901d310f555178,Python Developer Advocate,SerpApi,0.0,0,"Austin, TX",True,100000 - 125000 (YEARLY),100000.0,125000.0,,2025-10-03,30+ days ago,"Zoom, Content creation, Figma, Participating in conferences, Community engagement, Digital marketing, GitHub, Online blogs, SDKs, Python, APIs, Sponsorships, Communication platforms, Slack",Familiarity with a developer relations role and digital marketing is a plus.  Design and implement a developer-focused strategy to grow SerpApi’s presence in the…,https://www.indeed.com/viewjob?jk=94901d310f555178
baa8cd7a6efd8f7f,Backend Python Developer – Remote,Jarvis Recruitment,0.0,0,"New York, NY",True,150000 - 190000 (YEARLY),150000.0,190000.0,,2025-03-11,3 days ago,"SaaS, Continuous Delivery (CD) implementation, Azure, AWS, Cross-functional collaboration, Microservices, Machine learning libraries, PyTorch, Google Cloud Platform, Application design, Machine learning frameworks, NoSQL, Cross-functional communication, Communication skills, Scalability, Docker, GraphQL, Implementing APIs, Mentoring, AI, JavaScript frameworks, Developing and maintaining backend systems, SQL, TensorFlow, Scalable systems, Database software proficiency",Conduct code reviews and mentor junior developers.  Work closely with front-end developers to integrate Python-based backends with React applications.,https://www.indeed.com/viewjob?jk=baa8cd7a6efd8f7f
2a39321851083174,Software Developer,Princeton10,0.0,0,"Philadelphia, PA",True,98000 - 125000 (YEARLY),98000.0,125000.0,,2026-01-21,4 days ago,"Data structures, .NET, Azure, AWS, Cross-functional collaboration, Software documentation, Engineering, Google Cloud Platform, APIs, Cross-functional communication, Computer science, Communication skills, Bachelor's degree, Python, Computer Science, Developing and maintaining backend systems, TypeScript, JavaScript, Technical troubleshooting support, Project stakeholder communication, Regression testing","Ensure assigned work is complete, stable, and ready for review before presenting it to senior developers or the broader team.  Interested in working with us?",https://www.indeed.com/viewjob?jk=2a39321851083174
7b6b42edb97c93e4,Python Developer,ICF,3.4,680,"Reston, VA 20190",True,98614 - 167644 (YEARLY),98614.0,167644.0,,2025-12-01,30+ days ago,"Databricks, Information Systems, Unit testing, Continuous Delivery (CD) implementation, Azure, Cross-functional collaboration, Math, Microservices, Mathematics, Integration testing, Data model design, Application design, Cross-functional communication, Responsive design, Web applications, Computer science, Implementing web services, Scalability, Docker, Django, Management Information Systems, Data modeling, Spring Boot, Bachelor's degree, Flask, Cloud Native Design, Computer Science, JavaScript frameworks, Developing and maintaining backend systems, SQL, Agile software development, Cloud development, Scalable systems, Hibernate, Database software proficiency, Continuous improvement, DevSecOps Practices",As a Python Developer at ICF you play the central role in driving innovation and using technology to drive connections through a multi-channel experience.,https://www.indeed.com/viewjob?jk=7b6b42edb97c93e4
0855934e18c5f835,Software Engineering L5 - GenAI Platform,Netflix,3.9,838,Remote,True,388000 - 619000 (YEARLY),388000.0,619000.0,,2025-12-12,30+ days ago,"Distributed computing, Machine learning, Continuous Delivery (CD) implementation, Cross-functional collaboration, Prompt engineering, Model deployment, Application design, Analysis skills, gRPC, Host/hostess experience, Cross-functional communication, Application deployment, Scalability, GraphQL, Implementing APIs, SDKs, Python, AI, Heavy lifting, Java, Scalable systems, Generative AI",We are seeking a Software Engineer to help build a developer platform that will provide the building blocks for Netflix to efficiently create GenAI applications…,https://www.indeed.com/viewjob?jk=0855934e18c5f835
a1d638023774bf07,US Tech - Backend Developer,PRICE WATERHOUSE COOPERS,3.9,10222,"Montpelier, VT",True,55000 - 187000 (YEARLY),55000.0,187000.0,,2026-01-22,2 days ago,"Statistical modeling, Cross-functional collaboration, Decision making, Data transformation, Client relationship development, Model deployment, Machine learning/AI-based analysis, Data visualization projects, UI development, Customer relationship building, Cross-functional communication, Scalability, Predictive analytics, Team development, Data visualization, MLOps, Mentoring, Bachelor's degree, Python, AI, Developing and maintaining backend systems, Statistics, Data-driven decision making, Generative AI","At PwC, our people in data and analytics engineering focus on leveraging advanced technologies and techniques to design and develop robust data solutions for…",https://www.indeed.com/viewjob?jk=a1d638023774bf07
7d69a78564332aa6,C# Developer,Capgemini,3.7,10570,"Atlanta, GA",True,62200 - 131560 (YEARLY),62200.0,131560.0,,2026-01-21,4 days ago,"Data structures, Cross-functional collaboration, Engineering, C#, Application design, Software testing, Engineering testing, Computer science, Application deployment, Communication skills, Scalability, Analysis (software development lifecycle), Research & development, Bachelor's degree, Python, Computer Science, Software Engineering, Algorithm design, Agile software development, Scalable systems, C++, Stakeholder engagement, Continuous improvement","Atlanta, Austin, Bellevue, Berwyn, Bridgewater, Brooklyn, Burlington, Chicago, Columbia, Dallas, Dayton - Sogeti US, Guaynabo, Houston, Irving, Mclean,…",https://www.indeed.com/viewjob?jk=7d69a78564332aa6
3f2e1b7106cb286e,Senior Python Backend Developer,The Motley Fool,4.3,41,Remote,True,90 - 100 (HOURLY),90.0,100.0,,2025-11-07,30+ days ago,"High availability, Cryptocurrency, Continuous Delivery (CD) implementation, AWS, Cross-functional collaboration, Microservices, RDS database, Developing automated testing protocols, Business requirements, Communication skills, Team management, System performance monitoring, Scalability, Docker, Django, DynamoDB, Implementing APIs, Next.js, High availability architecture, IT system monitoring, Flask, Redis, AI, Developing and maintaining backend systems, SQL, Scalable systems, Failover system","The Motley Fool is seeking a Senior Python Developer to help us develop APIs and microservices using Python-based frameworks such as FastAPI, Django, or Flask.",https://www.indeed.com/viewjob?jk=3f2e1b7106cb286e
e237be5cba98a0b1,Fullstack Developer,Uncrowned King Int'l Ltd,0.0,0,Remote,True,70000 - 150000 (YEARLY),70000.0,150000.0,,2026-01-15,10 days ago,"Azure, AWS, Cross-functional collaboration, Google Cloud Platform, Mobile application development, Cross-functional communication, Responsive design, Web applications, Mobile product development, Communication skills, Scalability, Vue.js, Python, Automation, AI, Developing and maintaining backend systems, Node.js, Scalable systems, High school diploma or GED","We are looking for a skilled Fullstack Developer to design, develop, and deploy responsive web and mobile applications while integrating AI and automation using…",https://www.indeed.com/viewjob?jk=e237be5cba98a0b1
4d909d455abde919,Software Developer,Advantage Group International,0.0,0,Remote,True,100000 - 120000 (YEARLY),100000.0,120000.0,,2025-11-21,30+ days ago,"Organizational skills, Automating deployment processes, Continuous Delivery (CD) implementation, Git, Technical solutions implementation, Nuxt.js, Tailwind CSS, Application design, Software architecture, UI development, Lean management, Maven, Web applications, Business requirements, Communication skills, Implementing web services, Django, Mentoring, SQL databases, Linux, System maintenance, AI, Developing and maintaining backend systems, Engineering automation testing, Agile software development, PostgreSQL, MySQL",We’re looking for a versatile full-stack developer with 4+ years of experience and a strong record of delivering high-quality production systems.,https://www.indeed.com/viewjob?jk=4d909d455abde919
